year,month,day,hour,rf_10184100,rf_10184110,rf_10184140,tide_level,swl,inf,sfw,ecpc,tototf,wl_1018662,fw_1018662,wl_1018680,wl_1018683,fw_1018683,wl_1019630,fw_1019630
2021,0,0,0,0.0,0.0,0.0,277.8333333333333,24.925,8.5,208.7,35.3,144.5,342.3666666666666,728.555,331.0333333333333,331.49999999999994,1211.8083333333334,311.96666666666664,1069.9516666666666
2021,0,0,1,0.0,0.0,0.0,205.5,24.936666666666667,267.0,209.12,34.879999999999995,150.33333333333334,318.8666666666666,529.2216666666667,315.3666666666666,318.6666666666667,385.94166666666666,311.3,1057.8566666666668
2021,0,0,2,0.0,0.0,0.0,141.83333333333334,24.925,58.833333333333336,208.7,35.3,151.0,318.3666666666666,525.5233333333333,311.2,311.8333333333333,450.4983333333333,294.6333333333334,796.3283333333334
2021,0,0,3,0.0,0.0,0.0,87.83333333333333,24.92,101.0,208.52,35.48,151.0,304.8666666666667,428.8666666666666,301.2,303.5,435.9116666666667,290.8,741.27
2021,0,0,4,0.0,0.0,0.0,129.83333333333334,24.92,151.0,208.52,35.48,151.0,299.8666666666666,395.1383333333333,296.2,297.5,217.74,283.8,646.54
2021,0,0,5,0.16666666666666666,0.0,0.16666666666666666,249.0,24.903333333333332,25.166666666666668,207.92,36.080000000000005,151.0,295.0333333333333,364.39,290.8666666666666,292.5,356.46999999999997,279.4666666666667,591.0166666666667
2021,0,0,6,0.0,0.0,0.0,426.5,24.899999999999995,125.83333333333331,207.80000000000004,36.2,151.0,289.53333333333336,330.71,285.8666666666666,288.0,288.43333333333334,276.4666666666667,554.3
2021,0,0,7,0.0,0.0,0.0,608.0,24.895,101.0,207.62,36.38,151.0,286.3666666666667,312.1066666666666,283.0333333333333,284.1666666666667,255.5,271.6333333333334,497.52833333333336
2021,0,0,8,0.0,0.0,0.0,724.1666666666666,24.89,101.0,207.43999999999997,36.56,151.0,282.86666666666673,292.22,279.3666666666666,281.0,223.92666666666665,267.3,449.16
2021,0,0,9,0.0,0.0,0.0,710.6666666666666,24.911666666666665,392.8333333333333,208.22,35.78,180.16666666666663,281.03333333333336,282.06333333333333,277.5333333333333,282.3333333333333,10.504999999999995,296.4666666666667,846.1283333333334
2021,0,0,10,0.0,0.0,0.0,618.1666666666666,24.923333333333336,442.1666666666667,208.64,35.35999999999999,328.5,313.2,507.0916666666667,317.2,331.0,-1980.6916666666664,342.8,1659.9366666666665
2021,0,0,11,0.0,0.0,0.0,510.6666666666667,24.91,198.16666666666663,208.16,35.839999999999996,331.0,392.03333333333336,1244.256666666667,387.0333333333333,387.6666666666667,-1588.0833333333333,362.3,2090.2533333333336
2021,0,0,12,0.0,0.0,0.0,402.3333333333333,24.925,474.8333333333333,208.7,35.3,325.3333333333333,419.8666666666666,1584.2066666666667,406.7000000000001,402.5,634.7533333333333,354.8,1916.265
2021,0,0,13,0.0,0.16666666666666666,0.0,313.1666666666667,24.92833333333333,343.3333333333333,208.82,35.18,310.0,378.86666666666673,1089.2333333333331,371.7,374.5,1329.525,357.63333333333327,1981.3166666666664
2021,0,0,14,0.0,0.0,0.5,242.0,24.929999999999996,326.6666666666667,208.88,35.12,310.0,358.86666666666673,877.3366666666667,353.7,355.1666666666667,556.8783333333333,338.46666666666664,1566.0966666666666
2021,0,0,15,0.5,0.0,0.16666666666666666,179.33333333333334,24.92833333333333,293.3333333333333,208.82,35.18,310.0,348.2,776.4083333333333,340.7,340.6666666666667,754.9933333333333,322.3,1249.8383333333334
2021,0,0,16,0.0,0.0,0.0,138.5,24.936666666666667,393.3333333333333,209.12,34.879999999999995,310.0,334.20000000000005,651.9666666666667,328.7,329.3333333333333,511.5683333333333,313.46666666666664,1093.755
2021,0,0,17,0.0,0.0,0.0,203.83333333333337,24.948333333333338,426.6666666666667,209.54,34.46,310.0,327.7,598.285,320.7,321.1666666666667,557.795,303.8,934.8516666666668
2021,0,0,18,0.0,0.0,0.0,296.3333333333333,24.95,326.6666666666667,209.6,34.4,310.0,321.3666666666667,548.3766666666667,314.7,315.5,593.4566666666666,298.9666666666667,860.105
2021,0,0,19,0.0,0.0,0.0,431.6666666666667,24.95,310.0,209.6,34.4,310.0,316.7,512.8466666666667,310.0333333333333,310.8333333333333,496.4916666666666,295.1333333333333,803.1516666666666
2021,0,0,20,0.0,0.0,0.0,542.8333333333334,24.95,310.0,209.6,34.4,310.0,312.03333333333336,478.68666666666667,306.2,307.0,520.4350000000001,291.1333333333333,745.8033333333333
2021,0,0,21,0.0,0.0,0.0,574.6666666666666,24.955,360.0,209.78,34.22,310.0,307.03333333333336,443.3616666666667,302.2,303.5,512.2366666666667,288.29999999999995,706.5266666666666
2021,0,0,22,0.0,0.0,0.0,504.3333333333333,24.959999999999997,360.0,209.96,34.04,310.0,303.3666666666667,418.3766666666667,299.0333333333333,300.0,445.65166666666664,292.96666666666664,775.3316666666666
2021,0,0,23,0.0,0.0,0.0,405.8333333333333,24.959999999999997,326.0,209.96,34.04,326.0,307.8666666666666,451.905,308.2,314.6666666666667,-370.5516666666667,307.6333333333333,996.4583333333334
2021,0,1,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,316.1666666666667,24.978333333333335,377.0,210.62166666666667,33.37833333333334,192.83333333333337,341.03333333333336,711.1750000000001,327.3666666666666,323.8333333333333,179.64,289.46666666666664,723.0233333333334
2021,0,1,1,0.0,0.0,0.0,239.66666666666663,24.975,209.83333333333337,210.50333333333333,33.49666666666667,164.0,317.03333333333336,517.4383333333334,311.2,314.1666666666667,949.79,299.96666666666664,875.8683333333333
2021,0,1,2,0.0,0.0,0.0,172.16666666666666,24.953333333333333,87.66666666666667,209.72,34.28,163.16666666666666,308.70000000000005,455.00666666666666,304.7,307.0,235.82333333333335,294.6333333333333,797.3666666666667
2021,0,1,3,0.0,0.0,0.0,111.66666666666669,24.973333333333333,363.5,210.43999999999997,33.56,163.0,306.2,437.81166666666667,301.5333333333333,302.1666666666667,441.8433333333333,284.46666666666664,655.1583333333333
2021,0,1,4,0.0,0.0,0.0,77.0,24.953333333333333,21.0,209.72,34.28,163.0,296.8666666666667,375.86833333333334,293.8666666666666,295.8333333333333,382.33666666666664,283.1333333333333,637.7416666666667
2021,0,1,5,0.0,0.0,0.0,153.5,24.951666666666668,146.33333333333334,209.66,34.339999999999996,163.0,294.7,362.17,290.3666666666666,291.6666666666667,271.58666666666664,277.1333333333334,562.38
2021,0,1,6,0.0,0.0,0.0,275.6666666666667,24.955,196.33333333333337,209.78,34.22,163.0,290.7,337.6983333333333,286.2,287.5,325.99,274.4666666666667,530.305
2021,0,1,7,0.0,0.0,0.0,433.5,24.948333333333338,102.5,209.54,34.46,163.0,287.2,316.925,282.8666666666666,284.16666666666663,259.0133333333333,271.4666666666667,495.59833333333336
2021,0,1,8,0.0,0.0,0.0,578.1666666666666,24.941666666666663,206.5,209.3,34.699999999999996,300.5,285.53333333333336,307.29833333333335,280.2,281.3333333333333,230.21333333333337,267.96666666666664,456.4166666666667
2021,0,1,9,0.0,0.0,0.0,654.8333333333334,24.935,269.6666666666667,209.06000000000003,34.94,336.3333333333333,283.36666666666673,295.00333333333333,277.5333333333333,278.8333333333333,230.09666666666664,265.6333333333334,431.25666666666666
2021,0,1,10,0.0,0.0,0.0,619.1666666666666,24.948333333333338,471.3333333333333,209.54,34.46,338.0,281.53333333333336,284.81166666666667,276.2,278.5,221.58333333333337,279.96666666666664,606.8833333333333
2021,0,1,11,0.0,0.0,0.0,531.3333333333334,24.93166666666667,171.33333333333334,208.93999999999997,35.059999999999995,338.0,298.03333333333336,390.8516666666667,297.8666666666666,307.0,-1066.86,308.8,1016.9083333333332
2021,0,1,12,0.0,0.0,0.0,437.3333333333333,24.941666666666663,438.0,209.3,34.699999999999996,338.0,350.03333333333336,795.5383333333334,341.5333333333333,340.6666666666667,-739.2950000000001,311.1333333333333,1055.75
2021,0,1,13,0.0,0.0,0.0,347.5,24.94,321.3333333333333,209.24,34.76,338.0,356.5333333333333,856.4766666666666,343.2,340.6666666666667,863.5616666666668,308.46666666666664,1011.225
2021,0,1,14,0.0,0.0,0.0,269.1666666666667,24.94,338.0,209.24,34.76,338.0,327.03333333333336,593.27,323.7,326.5,747.4333333333334,314.13333333333327,1105.0333333333333
2021,0,1,15,0.0,0.0,0.0,201.66666666666663,24.94,338.0,209.24,34.76,338.0,325.53333333333336,580.9166666666666,318.5333333333333,318.3333333333333,451.7583333333334,300.4666666666667,884.02
2021,0,1,16,0.0,0.0,0.0,145.16666666666666,24.94,338.0,209.24,34.76,338.0,318.2,524.1733333333333,310.7,311.3333333333333,610.3816666666667,294.1333333333333,788.5183333333333
2021,0,1,17,0.0,0.0,0.0,140.16666666666666,24.94,338.0,209.24,34.76,338.0,313.53333333333336,489.49,306.8666666666666,307.8333333333333,541.9233333333333,289.96666666666664,729.5983333333334
2021,0,1,18,0.0,0.0,0.0,208.66666666666663,24.94,338.0,209.24,34.76,338.0,309.7,462.06,303.2,304.3333333333333,575.0883333333334,287.63333333333327,697.4133333333333
2021,0,1,19,0.0,0.0,0.0,307.8333333333333,24.94,338.0,209.24,34.76,338.0,305.53333333333336,433.0033333333334,299.7,300.8333333333333,508.8983333333333,285.8,672.7983333333333
2021,0,1,20,0.0,0.0,0.0,421.6666666666667,24.948333333333338,314.1666666666667,209.54,34.46,230.83333333333337,303.03333333333336,416.08666666666664,297.0333333333333,298.3333333333333,478.00666666666666,283.63333333333327,644.1833333333334
2021,0,1,21,0.0,0.0,0.0,504.3333333333333,24.956666666666667,234.5,209.84,34.16,151.16666666666666,300.03333333333336,396.275,294.3666666666666,296.0,485.66333333333336,282.6333333333333,631.21
