ELEVATION,INFLOW,OUTFLOW,year,month,d,p01i
447.11,6971.0,5504,2005,1,1,0.0
447.26,6931.0,4493,2005,1,2,0.0
447.72,6606.0,2447,2005,1,3,0.12
448.16,6071.0,1831,2005,1,4,0.72
448.55,4546.0,1892,2005,1,5,0.14
449.04,4536.0,1849,2005,1,6,0.0
449.35,2347.0,1977,2005,1,7,0.02
449.44,2285.0,1980,2005,1,8,0.0
449.44,2272.0,1965,2005,1,9,0.02
449.48,2270.0,2188,2005,1,10,0.22
449.45,2277.0,2269,2005,1,11,0.01
449.29,2271.0,3603,2005,1,12,0.0
448.81,2257.0,6640,2005,1,13,0.0
448.58,2271.0,4986,2005,1,14,0.0
448.25,2346.0,5211,2005,1,15,0.0
447.8,5145.0,5500,2005,1,16,0.0
447.62,5255.0,5202,2005,1,17,0.0
447.34,5283.0,5559,2005,1,18,0.0
447.13,6650.0,5509,2005,1,19,0.0
447.21,7299.0,4475,2005,1,20,0.0
447.14,7207.0,5810,2005,1,21,0.0
447.02,6654.0,6507,2005,1,22,0.0
446.77,6643.0,6491,2005,1,23,0.0
446.67,6952.0,5767,2005,1,24,0.0
446.9,6253.0,3766,2005,1,25,0.0
447.17,5745.0,1969,2005,1,26,0.46
447.27,5417.0,1862,2005,1,27,0.12
447.34,5428.0,3668,2005,1,28,0.01
447.04,4964.0,5692,2005,1,29,0.98
446.93,5000.0,5430,2005,1,30,0.01
446.86,5903.0,5316,2005,1,31,0.0
446.94,5905.0,4997,2005,2,1,0.0
447.14,9271.0,4593,2005,2,2,0.0
447.45,9295.0,5187,2005,2,3,0.0
447.28,9296.0,7620,2005,2,4,0.0
447.05,7797.0,7229,2005,2,5,0.0
446.61,7785.0,8184,2005,2,6,0.0
446.28,7844.0,8185,2005,2,7,0.0
446.15,7822.0,6519,2005,2,8,0.0
446.06,8552.0,5497,2005,2,9,0.0
446.36,9283.0,2735,2005,2,10,0.0
447.02,8761.0,1881,2005,2,11,1.35
447.51,6381.0,1869,2005,2,12,0.53
447.95,5821.0,1858,2005,2,13,0.0
448.21,5902.0,3712,2005,2,14,0.0
448.37,2293.0,2975,2005,2,15,0.0
448.47,2117.0,2988,2005,2,16,0.01
448.67,2124.0,1926,2005,2,17,0.0
448.88,2083.0,1987,2005,2,18,0.99
449.06,2009.0,1911,2005,2,19,
449.17,1873.0,2899,2005,2,20,
449.07,2086.0,7236,2005,2,21,0.0
449.55,2035.0,3491,2005,2,22,0.14
449.81,1691.0,5992,2005,2,23,0.38
449.74,1351.0,7847,2005,2,24,0.0
449.73,1367.0,6971,2005,2,25,0.0
449.67,1348.0,6997,2005,2,26,0.01
449.69,1384.0,6402,2005,2,27,0.0
