ELEVATION,INFLOW,OUTFLOW,year,month,d
1130.11,10800.0,8603,2005,1,1
1130.17,11400.0,7763,2005,1,2
1130.27,9890.0,11478,2005,1,3
1130.18,10500.0,11969,2005,1,4
1130.33,18800.0,10004,2005,1,5
1130.46,17400.0,10119,2005,1,6
1130.56,16500.0,12159,2005,1,7
1130.76,16700.0,5469,2005,1,8
1131.02,17500.0,5024,2005,1,9
1131.37,19000.0,3798,2005,1,10
1131.87,13300.0,3042,2005,1,11
1132.85,19100.0,4354,2005,1,12
1133.33,20900.0,3268,2005,1,13
1133.66,18400.0,4120,2005,1,14
1133.94,16900.0,3670,2005,1,15
1134.24,16800.0,3234,2005,1,16
1134.48,16400.0,4015,2005,1,17
1134.63,9590.0,5850,2005,1,18
1134.75,14900.0,5312,2005,1,19
1135.0,15700.0,3292,2005,1,20
1135.24,15600.0,2672,2005,1,21
1135.48,15400.0,3624,2005,1,22
1135.69,15200.0,4074,2005,1,23
1135.91,15300.0,3123,2005,1,24
1136.03,8930.0,4887,2005,1,25
1136.17,14400.0,5692,2005,1,26
1136.38,15800.0,4066,2005,1,27
1136.62,16200.0,4379,2005,1,28
1136.93,16300.0,3331,2005,1,29
1137.18,15900.0,2887,2005,1,30
1137.4,16400.0,4747,2005,1,31
1137.49,10300.0,7105,2005,2,1
1137.59,15900.0,7913,2005,2,2
1137.74,16100.0,7670,2005,2,3
1137.91,15700.0,6578,2005,2,4
1138.1,15500.0,5042,2005,2,5
1138.24,15400.0,7259,2005,2,6
1138.41,15500.0,7029,2005,2,7
1138.42,9040.0,9712,2005,2,8
1138.47,14300.0,8195,2005,2,9
1138.58,15000.0,8491,2005,2,10
1138.75,15400.0,9600,2005,2,11
1138.96,17400.0,7710,2005,2,12
1139.15,16500.0,10001,2005,2,13
1139.32,16900.0,6819,2005,2,14
1139.49,9880.0,5098,2005,2,15
1139.67,16300.0,3991,2005,2,16
1139.87,18600.0,5569,2005,2,17
1140.19,20800.0,5251,2005,2,18
1140.56,20500.0,5010,2005,2,19
1140.88,18300.0,3855,2005,2,20
1141.24,17700.0,3286,2005,2,21
1141.54,11200.0,3830,2005,2,22
1141.79,17800.0,3674,2005,2,23
1142.13,20500.0,5075,2005,2,24
1142.47,21900.0,4107,2005,2,25
1142.8,19700.0,3396,2005,2,26
1143.05,18400.0,4826,2005,2,27
1143.25,18400.0,6050,2005,2,28
1143.43,11000.0,4522,2005,3,1
1143.6,16500.0,3890,2005,3,2
1143.84,16900.0,4404,2005,3,3
1144.03,16400.0,3359,2005,3,4
1144.3,15900.0,3740,2005,3,5
1144.52,15700.0,3629,2005,3,6
1144.75,15700.0,3203,2005,3,7
1144.91,9230.0,3534,2005,3,8
1145.07,14700.0,3102,2005,3,9
1145.28,15700.0,3421,2005,3,10
1145.48,16000.0,3742,2005,3,11
1145.69,16000.0,4113,2005,3,12
1145.92,16100.0,4957,2005,3,13
1146.08,16100.0,3458,2005,3,14
1146.23,9780.0,4297,2005,3,15
1146.35,15500.0,4700,2005,3,16
1146.57,16600.0,4264,2005,3,17
1146.78,17100.0,4828,2005,3,18
1146.99,17000.0,5860,2005,3,19
1147.17,16400.0,6126,2005,3,20
1147.37,15900.0,7547,2005,3,21
1147.42,9330.0,13088,2005,3,22
1147.38,14700.0,10682,2005,3,23
1147.51,15500.0,9912,2005,3,24
1147.56,15500.0,12231,2005,3,25
1147.64,15900.0,10711,2005,3,26
1147.75,15800.0,11040,2005,3,27
1147.75,15700.0,15117,2005,3,28
1147.69,9320.0,14225,2005,3,29
1147.65,14800.0,14634,2005,3,30
1147.66,15500.0,13246,2005,3,31
1147.7,15500.0,13706,2005,4,1
1147.73,15200.0,13353,2005,4,2
1147.7,15500.0,15072,2005,4,3
1147.67,15500.0,17287,2005,4,4
1147.52,9130.0,19403,2005,4,5
1147.33,14900.0,21563,2005,4,6
1147.15,16000.0,19740,2005,4,7
1147.08,16000.0,18169,2005,4,8
1147.23,16100.0,11616,2005,4,9
1147.31,16100.0,11404,2005,4,10
1147.22,10000.0,17775,2005,4,11
1147.03,9070.0,20495,2005,4,12
1146.83,9090.0,16816,2005,4,13
1146.68,9090.0,18520,2005,4,14
1146.56,9030.0,15241,2005,4,15
1146.53,9100.0,11712,2005,4,16
1146.47,9180.0,10368,2005,4,17
1146.37,9230.0,14513,2005,4,18
1146.16,9300.0,21545,2005,4,19
1145.89,9470.0,23920,2005,4,20
1145.66,9510.0,23457,2005,4,21
1145.54,9370.0,18141,2005,4,22
1145.47,9310.0,15665,2005,4,23
1145.33,9340.0,14411,2005,4,24
1145.16,9560.0,20148,2005,4,25
1144.97,9600.0,21433,2005,4,26
1144.76,9500.0,21188,2005,4,27
1144.62,9470.0,18867,2005,4,28
1144.46,9640.0,19035,2005,4,29
1144.45,9730.0,11476,2005,4,30
1144.44,9460.0,10655,2005,5,1
1144.26,9270.0,18566,2005,5,2
1144.1,10500.0,19739,2005,5,3
1143.98,12000.0,18113,2005,5,4
1143.83,12200.0,16904,2005,5,5
1143.93,12300.0,11323,2005,5,6
1143.9,12500.0,15435,2005,5,7
1143.91,12400.0,11965,2005,5,8
1143.7,12100.0,20030,2005,5,9
1143.7,10800.0,15673,2005,5,10
1143.54,12000.0,19482,2005,5,11
1143.34,12200.0,23048,2005,5,12
1143.18,12100.0,22429,2005,5,13
1143.05,12100.0,20128,2005,5,14
1142.86,12100.0,21549,2005,5,15
1142.88,12000.0,12681,2005,5,16
1142.92,11000.0,9642,2005,5,17
1142.86,12200.0,14940,2005,5,18
1142.69,12400.0,22023,2005,5,19
1142.57,12300.0,18964,2005,5,20
1142.52,12400.0,16332,2005,5,21
1142.62,12300.0,9989,2005,5,22
1142.55,12100.0,12673,2005,5,23
1142.43,10900.0,20615,2005,5,24
1142.28,12000.0,19769,2005,5,25
1142.24,12200.0,14274,2005,5,26
1142.26,12100.0,12900,2005,5,27
1142.16,11300.0,14017,2005,5,28
1142.11,9710.0,12151,2005,5,29
1142.09,9430.0,12008,2005,5,30
1141.89,9350.0,20559,2005,5,31
1141.74,9340.0,17193,2005,6,1
1141.56,9240.0,17859,2005,6,2
1141.37,14000.0,21731,2005,6,3
1141.32,14700.0,16233,2005,6,4
